recency,frequency,monetary,cluster
274.0,1,2400.68,1
689.0,1,322.56,3
1001.0,1,143.36,0
907.0,1,1200.32,0
610.0,1,650.56,3
427.0,1,5.23,1
662.0,1,322.56,3
914.0,1,600.17,0
689.0,1,60.6,3
943.0,1,5.23,0
517.0,1,162.64,3
448.0,1,130.75,1
997.0,1,2700.7200000000003,0
696.0,1,7502.0,3
483.0,1,40.66,3
638.0,1,11.73,3
122.0,1,5401.53,1
479.0,1,47.07,3
455.0,1,60.6,1
998.0,1,2700.7200000000003,0
548.0,1,1200.32,3
274.0,1,300.08,1
942.0,1,83.68,0
455.0,1,573.44,1
783.0,1,9602.72,2
725.0,1,2700.7200000000003,3
660.0,1,573.44,3
215.0,1,322.56,1
720.0,1,16800.0,2
1024.0,1,300.08,0
904.0,1,7502.0,0
31.0,1,600.17,1
1055.0,1,650.56,0
821.0,1,5.23,0
781.0,1,1200.32,0
575.0,1,2400.68,3
874.0,1,600.17,0
480.0,1,47.07,3
853.0,1,143.36,0
356.0,1,4801.28,1
639.0,1,83.68,3
667.0,1,300.08,3
1025.0,1,1200.32,0
940.0,1,4801.28,0
1001.0,1,105.57,0
358.0,1,365.94,1
724.0,1,2700.7200000000003,3
914.0,1,300.08,0
1060.0,1,1200.32,0
692.0,1,650.56,3
637.0,1,7502.0,3
635.0,1,26250.0,2
577.0,1,9602.72,2
1058.0,1,2700.7200000000003,0
943.0,1,7502.0,0
607.0,1,47.07,3
548.0,1,7502.0,3
884.0,1,136.35000000000002,0
934.0,1,2400.68,0
813.0,1,242.4,0
936.0,1,2700.7200000000003,0
448.0,1,7502.0,1
816.0,1,2700.7200000000003,0
1025.0,1,4801.28,0
547.0,1,4801.28,3
691.0,1,2700.7200000000003,3
540.0,1,365.94,3
359.0,1,242.4,1
944.0,1,9450.0,2
544.0,1,2400.68,3
363.0,1,573.44,1
420.0,1,322.56,1
666.0,1,1200.32,3
579.0,1,20.92,3
154.0,1,16800.0,2
215.0,1,1050.0,1
391.0,1,2700.7200000000003,1
363.0,1,4801.28,1
484.0,1,143.36,3
786.0,1,130.75,0
945.0,1,5401.53,0
939.0,1,896.0,0
730.0,1,2400.68,3
881.0,1,2700.7200000000003,0
426.0,1,1050.0,1
539.0,1,2700.7200000000003,3
457.0,1,7502.0,1
964.0,1,5.23,0
757.0,1,143.36,3
969.0,1,2700.7200000000003,0
728.0,1,9602.72,2
964.0,1,83.68,0
848.0,1,1016.5,0
364.0,1,15004.25,2
995.0,1,242.4,0
515.0,1,573.44,3
152.0,1,2700.7200000000003,1
575.0,1,143.36,3
427.0,1,600.17,1
448.0,1,650.56,1
640.0,1,2700.7200000000003,3
813.0,1,40.66,0
578.0,1,1200.32,3
385.0,1,5401.53,1
243.0,1,1016.5,1
333.0,1,40.66,1
964.0,1,4801.28,0
668.0,1,1200.32,3
512.0,1,2700.7200000000003,3
661.0,1,4801.28,3
487.0,1,83.68,3
121.0,1,1200.32,1
935.0,1,162.64,0
1025.0,1,600.17,0
1000.0,1,4801.28,0
389.0,1,300.08,1
667.0,1,1200.32,3
905.0,1,1200.32,0
449.0,1,365.94,1
245.0,1,105.57,1
481.0,1,4801.28,3
970.0,1,4801.28,0
912.0,1,1016.5,0
394.0,1,1200.32,1
761.0,1,4801.28,3
969.0,1,300.08,0
783.0,1,300.08,0
822.0,1,136.35000000000002,0
1006.0,1,1200.32,0
726.0,1,16800.0,2
664.0,1,378.75,3
361.0,1,1200.32,1
695.0,1,1200.32,3
569.0,1,4801.28,3
274.0,1,896.0,1
852.0,1,600.17,0
542.0,1,5.23,3
935.0,1,1016.5,0
421.0,1,7502.0,1
907.0,1,650.56,0
513.0,1,1016.5,3
906.0,1,600.17,0
972.0,1,573.44,0
245.0,1,7502.0,1
545.0,1,600.17,3
577.0,1,650.56,3
600.0,1,4801.28,3
689.0,1,40.66,3
811.0,1,9450.0,2
847.0,1,4200.0,0
853.0,1,162.64,0
423.0,1,26250.0,2
547.0,1,20.92,3
882.0,1,7502.0,0
630.0,1,2700.7200000000003,3
385.0,1,46.92,1
973.0,1,46.92,0
419.0,1,1016.5,1
874.0,1,162.64,0
396.0,1,300.08,1
452.0,1,322.56,1
791.0,1,20.92,0
1004.0,1,5401.53,0
511.0,1,4801.28,3
813.0,1,1016.5,0
636.0,1,9602.72,2
538.0,1,4801.28,3
879.0,1,60.6,0
302.0,1,300.08,1
659.0,1,4801.28,3
842.0,1,573.44,0
571.0,1,4801.28,3
694.0,1,162.64,3
392.0,1,300.08,1
486.0,1,20.92,3
515.0,1,130.75,3
303.0,1,130.75,1
877.0,1,20.92,0
996.0,1,1200.32,0
755.0,1,1016.5,3
569.0,1,2700.7200000000003,3
540.0,1,1050.0,3
759.0,1,4200.0,3
784.0,1,1016.5,0
572.0,1,2700.7200000000003,3
123.0,1,650.56,1
964.0,1,2700.7200000000003,0
571.0,1,322.56,3
549.0,1,2700.7200000000003,3
722.0,1,2400.68,3
731.0,1,15004.25,2
514.0,1,2700.7200000000003,3
969.0,1,40.66,0
517.0,1,5.23,3
759.0,1,4801.28,3
1055.0,1,322.56,0
873.0,1,20.92,0
635.0,1,5.23,3
396.0,1,2400.68,1
664.0,1,2700.7200000000003,3
453.0,1,83.68,1
666.0,1,1200.32,3
640.0,1,365.94,3
851.0,1,378.75,0
393.0,1,9602.72,2
454.0,1,7502.0,1
999.0,1,1200.32,0
788.0,1,573.44,0
578.0,1,35.84,3
361.0,1,7502.0,1
423.0,1,143.36,1
695.0,1,9450.0,2
515.0,1,35.84,3
446.0,1,26250.0,2
785.0,1,896.0,0
639.0,1,365.94,3
1026.0,1,300.08,0
969.0,1,7502.0,0
214.0,1,1200.32,1
816.0,1,40.66,0
881.0,1,83.68,0
1028.0,1,83.68,0
1058.0,1,7502.0,0
1063.0,1,143.36,0
914.0,1,7502.0,0
788.0,1,130.75,0
573.0,1,15004.25,2
730.0,1,4801.28,3
364.0,1,11.73,1
631.0,1,2700.7200000000003,3
61.0,1,7502.0,1
1025.0,1,300.08,0
669.0,1,20.92,3
121.0,1,2400.68,1
1061.0,1,300.08,0
876.0,1,5.23,0
481.0,1,20.92,3
518.0,1,896.0,3
600.0,1,130.75,3
457.0,1,365.94,1
817.0,1,4801.28,0
781.0,1,143.36,0
996.0,1,20.92,0
811.0,1,365.94,0
1001.0,1,2400.68,0
447.0,1,7502.0,1
1024.0,1,896.0,0
184.0,1,322.56,1
757.0,1,7502.0,3
974.0,1,40.66,0
1030.0,1,143.36,0
539.0,1,365.94,3
519.0,1,2700.7200000000003,3
697.0,1,1200.32,3
31.0,1,1016.5,1
604.0,1,242.4,3
879.0,1,40.66,0
427.0,1,11.73,1
1057.0,1,378.75,0
244.0,1,4801.28,1
549.0,1,4801.28,3
1056.0,1,130.75,0
853.0,1,293.25,0
388.0,1,143.36,1
61.0,1,2400.68,1
875.0,1,4801.28,0
1006.0,1,46.92,0
630.0,1,5.23,3
577.0,1,46.92,3
659.0,1,4801.28,3
728.0,1,83.68,3
727.0,1,896.0,3
363.0,1,378.75,1
518.0,1,4200.0,3
447.0,1,15004.25,2
668.0,1,2700.7200000000003,3
633.0,1,47.07,3
516.0,1,4200.0,3
359.0,1,322.56,1
968.0,1,60.6,0
545.0,1,105.57,3
92.0,1,15.15,1
416.0,1,5.23,1
667.0,1,4801.28,3
510.0,1,2700.7200000000003,3
845.0,1,4801.28,0
874.0,1,4801.28,0
603.0,1,60.6,3
518.0,1,300.08,3
424.0,1,105.57,1
873.0,1,2700.7200000000003,0
761.0,1,7502.0,3
812.0,1,162.64,0
484.0,1,11.73,3
850.0,1,5401.53,0
488.0,1,11.73,3
608.0,1,162.64,3
1027.0,1,162.64,0
998.0,1,4801.28,0
213.0,1,1200.32,1
451.0,1,322.56,1
1005.0,1,4801.28,0
1058.0,1,15004.25,2
487.0,1,365.94,3
517.0,1,365.94,3
485.0,1,300.08,3
975.0,1,130.75,0
456.0,1,322.56,1
630.0,1,1200.32,3
483.0,1,600.17,3
453.0,1,40.66,1
913.0,1,600.17,0
903.0,1,143.36,0
752.0,1,35.84,3
967.0,1,7502.0,0
334.0,1,300.08,1
454.0,1,2700.7200000000003,1
1057.0,1,40.66,0
1030.0,1,7502.0,0
1058.0,1,1016.5,0
356.0,1,4801.28,1
631.0,1,2700.7200000000003,3
668.0,1,130.75,3
727.0,1,300.08,3
389.0,1,1016.5,1
903.0,1,1016.5,0
883.0,1,4801.28,0
361.0,1,1200.32,1
781.0,1,47.07,0
811.0,1,2700.7200000000003,0
906.0,1,15.15,0
692.0,1,15.15,3
451.0,1,2400.68,1
392.0,1,105.57,1
395.0,1,2700.7200000000003,1
603.0,1,7502.0,3
1001.0,1,650.56,0
689.0,1,20.92,3
545.0,1,1016.5,3
275.0,1,46.92,1
1033.0,1,2700.7200000000003,0
880.0,1,4801.28,0
812.0,1,9602.72,2
939.0,1,365.94,0
487.0,1,1200.32,3
481.0,1,378.75,3
456.0,1,9602.72,2
731.0,1,2700.7200000000003,3
